"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004400","......................... Kariana and Spices","4.840519","Billion PKR","Normal","","53","Outstanding Advances Of All Banks Against Kariana And Spices - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004500","......................... Fish and Fish Preparations",".311602","Billion PKR","Normal","","54","Outstanding Advances Of All Banks Against Fish And Fish Preparations - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004600","......................... Other Food Items","77.901763","Billion PKR","Normal","","55","Outstanding Advances Of All Banks Against Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004700","............................... Indigenous","75.922786","Billion PKR","Normal","","56","Outstanding Advances Of All Banks Against Indigenous Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004800","............................... Imported","1.978977","Billion PKR","Normal","","57","Outstanding Advances Of All Banks Against Imported Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0004900","................... Raw Materials","635.349152","Billion PKR","Normal","","58","Outstanding Advances Of All Banks Against Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005000","......................... Cotton Raw","154.783845","Billion PKR","Normal","","59","Outstanding Advances Of All Banks Against Cotton Raw - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005100","............................... Indigenous","135.810074","Billion PKR","Normal","","60","Outstanding Advances Of All Banks Against Indigenous Raw Cotton - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005200","............................... Imported","18.973771","Billion PKR","Normal","","61","Outstanding Advances Of All Banks Against Imported Raw Cotton - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005300","......................... Synthetic Fibers","22.667098","Billion PKR","Normal","","62","Outstanding Advances Of All Banks Against Synthetic Fibers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","30-Apr-2022","TS_GP_BAM_ADVBYBOR_M.ABS0005400","............................... Indigenous","21.94562","Billion PKR","Normal","","63","Outstanding Advances Of All Banks Against Indigenous Synthetic Fibers - To Private Sector (Business)"
